line;partNr;partName
1;91G004702;minor
2;91G004802;minor
12;91G008601;minor
13;91G008602;Minor
14;91G008603;minor
15;91G008604;Minor
17;91G008606;minor
19;91G011401;minor
20;91G011402;Minor
21;91G011403;minor
22;91G011404;Minor
24;91G011406;minor
30;91G013904;MOTOR
31;91G014801;MOTOR
96;91G109901;NCV2 COC
97;91G110001;NCV2 INR
98;91G110101;NCV2 INR
99;91G110201;NCV2 MRA
100;91G200202;minor
102;91G200403;minor
103;91G200502;minor
105;91G201102;minor
107;91G201104;minor
108;91G201202;minor
110;91G201204;minor
119;91G213902;minor
120;91G214002;minor
121;91G214102;minor
122;91G214202;minor
123;91G214302;minor
126;91G217301;minor
127;91G217401;minor
129;91G217601;minor
133;91G219002;MRA
134;91G219003;MRA
135;91G220301;RBA AEJ11/1 D-s E-CLASS
136;91G220401;RBA AEJ11/1 D-s E-CLASS
137;91G220501;RBA AEJ11/1 D-s E-CLASS
138;91G221201;RBA AEJ11/1 D-s E-CLASS
139;91G221301;RBA AEJ11/1 D-s E-CLASS
140;91G221401;RBA AEJ11/1 D-s E-CLASS
141;91G221501;RBA AEJ11/1 D-s E-CLASS
142;91G221801;minor
144;91G221803;minor
145;91G221901;RBA AEJ12/1 E-CLASS
152;91G224602;Minor
153;91G224603;minor
155;91G224702;minor
181;91G302204;NCV3 MINOR
191;91G304301;N3 COC
195;91G304601;N3 COC
197;91G304701;N3 COC
199;91G304801;N3 COC
215;91G306301;N3 ROOF
218;91G306801;NCV3 BODY
219;91G306802;NCV3 BODY
221;91G307001;NCV3 BODY
222;91G307002;NCV3 BODY
224;91G307101;NCV3 BODY
226;91G307201;NCV3 BODY
228;91G307501;NCV3 BODY
230;91G307601;NCV3 BODY
235;91G308101;NCV3 BODY
237;91G308201;NCV3 BODY
257;91G310501;NCV3 MINOR
272;91G405603;minor
273;91G405703;minor
276;91G406001;minor
292;91G413402;minor
295;91G904802;RBA AEJ 2011/mopf C-CLASS
296;91G904902;RBA AEJ 2011/mopf C-CLASS
297;91G905003;RBA AEJ 2011/mopf C-CLASS
298;91G905103;RBA AEJ 2011/mopf C-CLASS
299;91G905201;C-C0C
300;91G905402;C-C0C
301;91G905502;C-C0C
303;91G905701;C-MRA12
305;91G905801;C-MRA12
307;91G905901;C-MRA12
326;91G923102;MRA
327;91G923103;MRA
328;91G923402;MRA
329;91G923403;MRA
330;91G923902;MRA
331;91G923903;MRA
332;91G924310;E-COC
333;91G924610;E-COC
334;91G924710;E-COC
335;91G924810;E-COC
336;91G924901;MRA
337;91G924902;MRA
338;91G925501;E-COC
339;91G926801;E-COC
340;91G926901;E-COC
341;91G927001;E-COC
354;91G940102;RBA AEJ 2011/01 GLK
355;91G940202;RBA AEJ 2011/01 GLK
356;91G940302;RBA AEJ 2011/01 GLK
357;91G940401;G-COC
358;91G940502;G-COC
359;91G940601;MRA
360;91G940701;MRA
382;91G232101;M274-MOTOR
383;91G427702;M274-MOTOR
384;91G427801;M274-MOTOR
